Title,Date,Activity Type,Tag,Rank,Steps,Distance [km],Time [hh:mm'ss"],Pace [mm'ss"/km],Speed [km/h],Cadence [step/min],Stride [cm],Clories [kcal],Avg. HR [num/min],Max. HR [num/min]	,Min. HR [num/min],Weather,Temperature [℃],Notes,TrainingEffect,Ascent [m],Descent [m]
"workout 31",2018/06/17,Run,training,,13449,15.044,1:20'2",5'19",,167,110,994,155,,,,,,5.0,196,203
"workout 32",2018/06/23,Run,training,,4699,5.448,0:28'6",5'9",,167,114,334,149,,,,,,3.4,48,56
"workout 33",2018/06/24,Run,training,,14859,15.584,1:30'16",5'47",,165,105,1091,152,,,,,,4.5,180,203
"workout 34",2018/06/25,Run,training,,4516,5.399,0:27'4",5'0",,166,117,351,160,,,,,,3.9,82,75
"workout 35",2018/06/27,Run,training,,4794,5.395,0:29'24",5'26",,164,110,365,155,,,,,,3.6,70,62
"workout 36",2018/06/30,Run,training,,11826,12.109,1:13'2",6'1",,162,101,879,152,,,,,,4.7,138,153
"workout 37",2018/07/01,Run,training,,5236,5.356,0:31'28",5'52",,166,101,338,139,,,,,,3.0,67,70
"workout 38",2018/07/07,Run,training,,6614,7.073,0:40'5",5'40",,164,104,488,153,,,,,,3.9,93,96
"workout 39",2018/07/08,Run,training,,15016,15.575,1:32'49",5'57",,164,102,1092,149,,,,,,4.7,186,204
"workout 40",2018/07/12,Run,training,,4620,5.394,0:27'2",5'0",,171,113,337,155,,,,,,3.6,70,72
"workout 41",2018/07/15,Run,training,,5707,6.016,0:33'58",5'38",,167,104,422,144,,,,,,3.2,62,74
"workout 42",2018/07/16,Run,training,,10458,11.006,1:3'55",5'48",,164,102,733,146,,,,,,4.0,131,145
"workout 43",2018/07/18,Run,training,,4540,5.371,0:26'31",4'56",,171,116,341,159,,,,,,3.8,73,87
"workout 44",2018/07/21,Run,training,,10346,10.89,1:2'29",5'44",,165,104,722,146,,,,,,3.7,117,131
"workout 45",2018/07/22,Run,training,,9404,10.241,0:56'44",5'32",,166,106,664,148,,,,,,4.0,90,115
"workout 46",2018/07/23,Run,training,,4609,5.379,0:27'7",5'2",,170,114,334,154,,,,,,3.5,82,84
"workout 47",2018/07/25,Run,training,,4718,5.424,0:27'43",5'6",,170,112,321,147,,,,,,3.2,54,73
"workout 48",2018/07/27,Run,training,,4459,5.395,0:26'38",4'56",,170,117,341,146,,,,,,3.0,45,62
"workout 49",2018/07/29,Run,training,,5815,5.959,0:35'30",5'57",,163,104,388,140,,,,,,3.1,75,93
"workout 50",2018/07/30,Run,training,,4944,5.41,0:29'20",5'25",,168,107,331,143,,,,,,3.2,56,61
"workout 51",2018/08/04,Run,training,,9757,10.265,0:58'34",5'42",,166,103,703,150,,,,,,4.3,114,116
"workout 52",2018/08/05,Run,training,,15068,15.052,1:32'5",6'7",,163,99,1110,150,,,,,,4.7,179,198
"workout 53",2018/08/08,Run,training,,4531,5.336,0:26'36",4'59",,170,115,332,155,,,,,,3.5,50,56
"workout 54",2018/08/10,Run,training,,14525,15.079,1:28'34",5'52",,163,99,1096,153,,,,,,5.0,161,176
"workout 55",2018/08/11,Run,training,,5673,6.074,0:33'47",5'33",,167,103,378,142,,,,,,3.2,111,67
"workout 56",2018/08/15,Run,training,,20811,21.209,2:7'14",5'59",,163,101,1471,145,,,,,,3.5,259,267
"workout 57",2018/08/17,Run,training,,8928,10.283,0:52'40",5'7",,169,113,667,155,,,,,,4.4,93,95
"workout 58",2018/08/18,Run,training,,9415,10.305,0:56'24",5'28",,166,107,650,144,,,,,,3.5,112,114
