Title,Date,Activity Type,Tag,Rank,Steps,Distance [km],Time [hh:mm'ss"],Pace [mm'ss"/km],Speed [km/h],Cadence [step/min],Stride [cm],Clories [kcal],Avg. HR [num/min],Max. HR [num/min]	,Min. HR [num/min],Weather,Temperature [℃],Notes,TrainingEffect,Ascent [m],Descent [m]
"workout 219",2019/09/18,Run,training,,4734,5.504,0:27'25",4'58",,172,113,279,145,,,,,,3.2,55,65
"workout 220",2019/09/20,Run,training,,8833,10.188,0:51'13",5'1",,172,114,538,148,,,,,,3.8,89,86
"workout 221",2019/09/28,Run,training,,9358,10.545,0:55'8",5'13",,169,111,581,148,,,,,,4.3,88,100
"workout 222",2019/09/29,Run,training,,9406,10.163,0:55'12",5'25",,170,107,555,144,,,,,,3.8,74,72
"workout 223",2019/10/02,Run,training,,4712,5.557,0:27'3",4'52",,174,113,286,148,,,,,,3.4,63,53
"workout 224",2019/10/05,Run,training,,9118,10.077,0:52'52",5'14",,172,110,601,156,,,,,,4.9,69,85
"workout 225",2019/10/06,Run,training,,9319,10.336,0:53'56",5'13",,172,110,556,146,,,,,,3.9,,
"workout 226",2019/10/13,Run,training,,9102,10.159,0:52'51",5'12",,172,111,635,161,,,,,,5.0,94,137
"workout 227",2019/10/14,Run,training,,4923,5.517,0:29'8",5'16",,168,110,303,144,,,,,,3.3,78,66
"workout 228",2019/10/16,Run,training,,4827,5.493,0:27'42",5'2",,174,111,296,146,,,,,,3.3,73,104
"workout 229",2019/10/28,Run,training,,4943,5.421,0:28'53",5'19",,171,109,313,149,,,,,,3.5,96,113
"workout 230",2019/10/30,Run,training,,4866,5.503,0:28'13",5'7",,172,111,314,151,,,,,,3.6,63,62
"workout 231",2019/11/03,Run,training,,9099,10.145,0:52'42",5'11",,172,111,557,147,,,,,,4.4,78,82
"workout 232",2019/11/04,Run,training,,8835,10.194,0:50'36",4'57",,174,114,582,155,,,,,,5.0,85,137
"workout 233",2019/11/09,Run,training,,14412,15.347,1:24'33",5'30",,170,105,930,151,,,,,,4.8,147,180
"workout 234",2019/11/10,Run,training,,5111,5.498,0:29'32",5'22",,172,107,312,146,,,,,,3.5,79,98
"workout 235",2019/11/14,Run,training,,5003,5.481,0:28'53",5'16",,173,107,306,147,,,,,,3.6,60,73
"workout 236",2019/11/17,Run,Half Marathon,,19712,21.135,1:56'53",5'31",,168,107,1317,153,,,,"","",5.0,300,298
"workout 237",2019/11/22,Run,training,,4871,5.552,0:27'32",4'57",,176,111,303,149,,,,,,3.5,59,68
"workout 238",2019/11/23,Run,training,,9229,10.14,0:53'5",5'14",,173,109,607,154,,,,,,4.6,74,91
"workout 239",2019/11/25,Run,training,,4618,5.269,0:26'18",4'59",,175,111,277,146,,,,,,3.3,47,70
"workout 240",2019/11/28,Run,training,,4928,5.436,0:28'28",5'14",,173,110,281,140,,,,,,3.1,44,51
"workout 241",2019/11/30,Run,training,,9273,10.111,0:53'5",5'15",,174,108,572,149,,,,,,4.0,79,103
"workout 242",2019/12/04,Run,training,,2013,2.109,0:11'25",5'24",,175,102,105,134,,,,,,2.2,37,24
"workout 243",2019/12/08,Run,training,,9735,10.168,0:56'22",5'32",,172,103,587,145,,,,,,4.0,89,101
"workout 244",2019/12/11,Run,training,,4708,5.206,0:26'54",5'10",,174,109,283,146,,,,,,3.3,148,190
"workout 245",2019/12/15,Run,training,,9082,10.057,0:51'8",5'5",,177,111,588,156,,,,"","鈴鹿シティマラソン",5.0,135,133
"workout 246",2019/12/22,Run,training,,5070,5.199,0:29'58",5'45",,169,104,286,137,,,,,,3.2,90,72
"workout 247",2019/12/24,Run,training,,4559,5.317,0:26'0",4'53",,175,112,290,151,,,,,,3.7,76,112
"workout 248",2019/12/28,Run,training,,4568,5.066,0:26'14",5'10",,173,108,290,150,,,,,,3.6,63,88
"workout 249",2019/12/29,Run,training,,9463,10.053,0:55'20",5'30",,170,105,570,144,,,,,,4.1,88,88
"workout 250",2020/01/04,Run,training,,9131,10.136,0:52'36",5'11",,173,109,588,152,,,,,,4.5,92,103
"workout 251",2020/01/05,Run,training,,8814,10.164,0:50'9",4'56",,175,113,568,154,,,,,,4.5,96,116
"workout 252",2020/01/10,Run,training,,4491,5.259,0:25'46",4'53",,174,114,284,151,,,,,,3.5,104,113
"workout 253",2020/01/11,Run,training,,8806,10.127,0:50'18",4'58",,174,114,553,150,,,,,,4.2,98,107
"workout 254",2020/01/12,Run,training,,8694,10.166,0:49'50",4'54",,174,115,555,152,,,,,,4.3,88,114
"workout 255",2020/01/13,Run,training,,9145,10.088,0:52'52",5'14",,172,110,566,148,,,,,,4.0,92,98
"workout 256",2020/01/19,Run,training,,8868,10.166,0:51'4",5'1",,173,113,572,152,,,,,,4.4,153,170
"workout 257",2020/01/20,Run,training,,4594,5.128,0:26'23",5'8",,174,112,280,147,,,,,,3.2,75,80
"workout 258",2020/01/24,Run,training,,4581,5.26,0:26'25",5'1",,173,113,296,151,,,,,,3.4,64,67
"workout 259",2020/01/25,Run,training,,4517,5.268,0:25'45",4'53",,175,114,299,156,,,,,,3.6,89,97
"workout 260",2020/01/31,Run,training,,4665,5.262,0:27'28",5'13",,169,111,315,155,,,,,,3.6,81,89
"workout 261",2020/02/01,Run,training,,9336,10.1,0:54'7",5'21",,172,108,623,155,,,,,,4.6,69,79
"workout 262",2020/02/02,Run,training,,9087,10.119,0:52'43",5'12",,172,110,608,156,,,,,,4.6,90,111
"workout 263",2020/02/04,Run,training,,4621,5.242,0:26'37",5'4",,173,112,296,152,,,,,,3.4,94,93
"workout 264",2020/02/06,Run,training,,4729,5.297,0:27'40",5'13",,170,110,297,148,,,,,,3.3,68,82
"workout 265",2020/02/08,Run,training,,8764,10.203,0:49'43",4'52",,176,115,560,153,,,,,,4.4,74,84
"workout 266",2020/02/09,Run,training,,8937,10.147,0:51'13",5'2",,174,112,579,153,,,,,,4.3,85,80
"workout 267",2020/02/11,Run,training,,8544,10.05,0:48'47",4'51",,175,117,560,155,,,,,,4.4,17,26
"workout 268",2020/02/15,Run,training,,9080,10.155,0:53'5",5'13",,170,111,565,147,,,,,,3.9,67,79
"workout 269",2020/02/17,Run,training,,4456,5.339,0:25'39",4'48",,173,113,286,152,,,,,,3.4,56,132
"workout 270",2020/02/20,Run,training,,4533,5.258,0:26'5",4'57",,173,112,284,150,,,,,,3.3,65,86
"workout 271",2020/02/23,Run,training,,9093,10.105,0:52'14",5'10",,174,110,550,146,,,,,,3.8,93,108
"workout 272",2020/02/28,Run,training,,4627,5.278,0:26'52",5'5",,172,111,276,144,,,,,,3.1,41,71
"workout 273",2020/03/01,Run,training,,9084,10.158,0:52'41",5'11",,172,111,562,147,,,,,,4.1,93,102
"workout 274",2020/03/03,Run,training,,4435,5.287,0:25'40",4'51",,172,114,286,152,,,,,,3.4,37,66
"workout 275",2020/03/07,Run,training,,8947,10.118,0:51'22",5'4",,174,111,581,153,,,,,,4.4,81,113
"workout 276",2020/03/09,Run,training,,8700,10.071,0:49'38",4'55",,175,114,581,157,,,,,,4.8,64,95
"workout 277",2020/03/12,Run,training,,4590,5.265,0:26'30",5'2",,173,113,297,151,,,,,,3.5,63,74
"workout 278",2020/03/15,Run,training,,8763,10.095,0:50'2",4'57",,175,114,566,154,,,,,,4.5,71,70
"workout 279",2020/03/18,Run,training,,4642,5.295,0:26'45",5'3",,173,111,277,144,,,,,,3.2,52,96
"workout 280",2020/03/20,Run,training,,8815,10.195,0:50'50",4'59",,173,113,616,162,,,,,,5.0,114,94
"workout 281",2020/03/21,Run,training,,9765,10.204,0:57'51",5'40",,168,105,577,141,,,,,,3.5,79,90
"workout 282",2020/03/22,Run,training,,9185,10.109,0:53'32",5'17",,171,108,577,148,,,,,,4.1,98,105
"workout 283",2020/03/26,Run,training,,4631,5.324,0:27'4",5'5",,171,112,302,149,,,,,,3.4,51,76
"workout 284",2020/04/04,Run,training,,10143,11.116,1:0'30",5'26",,167,108,673,152,,,,,,4.4,154,121
"workout 285",2020/04/05,Run,training,,10897,12.096,1:3'16",5'13",,172,110,732,156,,,,,,5.0,127,168
"workout 286",2020/04/09,Run,training,,4853,5.352,0:28'15",5'16",,171,109,321,154,,,,,,3.6,59,63
"workout 287",2020/04/10,Run,training,,5144,5.753,0:29'51",5'11",,172,111,342,155,,,,,,3.7,29,47
"workout 288",2020/04/11,Run,training,,11723,13.114,1:8'55",5'15",,170,110,831,161,,,,,,5.0,172,189
"workout 289",2020/04/12,Run,training,,10510,11.775,1:0'57",5'10",,172,111,710,157,,,,,,4.8,118,129
"workout 290",2020/04/14,Run,training,,4804,5.523,0:27'41",5'0",,173,113,323,159,,,,,,3.6,76,112
"workout 291",2020/04/15,Run,training,,4861,5.488,0:28'0",5'6",,173,112,315,152,,,,,,3.4,50,74
"workout 292",2020/04/16,Run,training,,4732,5.454,0:27'15",4'59",,173,113,316,156,,,,,,3.5,41,71
"workout 293",2020/04/17,Run,training,,5060,5.649,0:29'18",5'11",,172,110,324,150,,,,,,3.4,81,191
"workout 294",2020/04/19,Run,training,,10247,11.769,1:1'26",5'13",,166,110,691,154,,,,,,4.4,116,124
"workout 295",2020/04/21,Run,training,,4890,5.843,0:28'8",4'48",,173,116,312,152,,,,,,3.5,113,142
"workout 296",2020/04/22,Run,training,,5079,5.611,0:30'45",5'28",,165,104,303,141,,,,,,3.0,75,64
"workout 297",2020/04/23,Run,training,,5077,5.785,0:29'1",5'0",,174,112,303,146,,,,,,3.2,94,95
"workout 298",2020/04/24,Run,training,,4842,5.624,0:27'59",4'58",,172,113,296,147,,,,,,3.2,50,57
"workout 299",2020/04/25,Run,training,,10410,11.982,1:1'10",5'6",,170,113,687,153,,,,,,4.3,101,122
"workout 300",2020/04/26,Run,training,,4967,5.063,0:30'22",5'59",,163,99,274,133,,,,,,2.6,76,110
"workout 301",2020/04/27,Run,training,,4899,5.727,0:28'17",4'56",,172,111,296,146,,,,,,3.2,61,90
"workout 302",2020/04/28,Run,training,,4914,5.693,0:28'51",5'4",,170,112,300,145,,,,,,3.2,70,54
"workout 303",2020/04/29,Run,training,,4980,5.915,0:28'55",4'53",,172,113,316,149,,,,,,3.3,76,96
"workout 304",2020/04/30,Run,training,,4860,5.765,0:28'3",4'51",,173,116,292,145,,,,,,3.2,69,64
"workout 305",2020/05/01,Run,training,,4916,5.766,0:28'23",4'55",,173,114,291,144,,,,,,3.1,42,59
"workout 306",2020/05/02,Run,training,,10429,11.723,1:0'36",5'10",,172,112,621,144,,,,,,3.7,75,99
"workout 307",2020/05/03,Run,training,,9186,10.014,0:54'17",5'25",,169,108,513,136,,,,,,3.1,86,108
"workout 308",2020/05/04,Run,training,,1023,1.169,0:5'53",5'1",,173,112,54,133,,,,,,1.4,,
"workout 309",2020/05/05,Run,training,,4906,5.738,0:30'58",5'23",,158,104,311,140,,,,,,3.0,78,85
"workout 310",2020/05/06,Run,training,,4905,5.737,0:28'17",4'55",,173,114,305,145,,,,,,3.1,66,89
"workout 311",2020/05/07,Run,training,,4940,5.758,0:28'33",4'57",,172,113,298,141,,,,,,3.0,57,62
"workout 312",2020/05/08,Run,training,,4974,5.778,0:28'50",4'59",,172,112,295,137,,,,,,3.0,72,61
"workout 313",2020/05/09,Run,training,,4904,5.69,0:28'19",4'58",,173,114,294,141,,,,,,3.1,43,59
"workout 315",2020/05/10,Walk,training,,5330,4.04,0:46'6",11'24",,115,73,360,125,,,,,,2.1,124,119
"workout 314",2020/05/10,Run,training,,1351,1.521,0:8'0",5'15",,168,110,78,129,,,,,,1.2,18,18
"workout 316",2020/05/11,Run,training,,4720,5.752,0:27'17",4'44",,172,118,300,146,,,,,,3.2,47,68
"workout 317",2020/05/12,Run,training,,4670,5.684,0:27'3",4'45",,172,116,325,155,,,,,,3.6,58,43
"workout 318",2020/05/13,Run,training,,4951,5.79,0:28'48",4'58",,171,114,302,142,,,,,,3.1,44,55
"workout 319",2020/05/14,Run,training,,4808,5.78,0:27'41",4'47",,173,116,297,144,,,,,,3.1,51,67
"workout 320",2020/05/15,Run,training,,4754,5.735,0:27'30",4'47",,172,118,298,145,,,,,,3.2,43,72
"workout 321",2020/05/17,Run,training,,9284,10.666,0:53'51",5'2",,172,112,574,143,,,,,,3.5,131,138
"workout 322",2020/05/18,Run,training,,4733,5.709,0:27'15",4'46",,173,117,299,146,,,,,,3.2,58,49
"workout 323",2020/05/19,Run,training,,4938,5.751,0:28'32",4'57",,172,113,299,142,,,,,,3.1,66,49
"workout 324",2020/05/20,Run,training,,4699,5.699,0:27'0",4'44",,173,116,304,148,,,,,,3.2,60,80
"workout 325",2020/05/21,Run,training,,4778,5.708,0:27'34",4'49",,173,116,305,146,,,,,,3.2,38,36
"workout 326",2020/05/23,Run,training,,4809,5.77,0:27'52",4'49",,172,116,303,145,,,,,,3.1,70,46
"workout 327",2020/05/24,Run,training,,6204,6.811,0:36'54",5'25",,167,108,379,139,,,,,,3.2,78,76
"workout 328",2020/05/25,Run,training,,4970,5.72,0:29'6",5'5",,170,111,315,144,,,,,,3.1,91,101
"workout 329",2020/05/26,Run,training,,4699,5.621,0:27'29",4'53",,170,116,310,148,,,,,,3.2,42,52
"workout 330",2020/05/27,Run,training,,4850,5.659,0:28'13",4'59",,171,114,298,141,,,,,,3.1,45,34
"workout 331",2020/05/28,Run,training,,4810,5.708,0:27'56",4'53",,172,117,302,144,,,,,,3.2,63,62
"workout 332",2020/05/29,Run,training,,4703,5.791,0:27'7",4'40",,173,119,297,145,,,,,,3.2,62,56
"workout 333",2020/05/30,Run,training,,9164,10.695,0:53'24",4'59",,171,113,562,144,,,,,,3.7,109,80
"workout 334",2020/05/31,Run,training,,1301,1.505,0:7'37",5'3",,170,112,85,149,,,,,,2.2,13,67
"workout 335",2020/06/02,Run,training,,4842,5.747,0:28'19",4'55",,170,116,308,145,,,,,,3.2,58,36
"workout 336",2020/06/06,Run,training,,4672,5.749,0:26'59",4'41",,172,117,300,147,,,,,,3.3,69,54
"workout 338",2020/06/07,Run,training,,4517,5.042,0:26'53",5'19",,167,109,261,133,,,,,,2.6,73,69
"workout 337",2020/06/07,Walk,training,,1028,0.717,0:9'19",12'59",,110,68,54,98,,,,,,0.2,21,33
"workout 339",2020/06/10,Run,training,,4739,5.723,0:27'42",4'50",,170,119,295,145,,,,,,3.2,61,77
"workout 340",2020/06/11,Run,training,,4767,5.764,0:27'47",4'49",,171,115,293,144,,,,,,3.2,60,61
"workout 341",2020/06/15,Run,training,,4721,5.738,0:27'28",4'47",,171,119,297,147,,,,,,3.3,69,78
"workout 342",2020/06/20,Run,training,,9285,10.65,0:54'50",5'8",,169,113,603,149,,,,,,4.3,111,117
"workout 343",2020/06/21,Run,training,,4845,5.313,0:29'6",5'28",,166,108,278,136,,,,,,3.0,46,75
"workout 345",2020/06/24,Run,training,,4907,5.674,0:28'46",5'4",,170,112,301,142,,,,,,3.3,111,131
"workout 344",2020/06/27,Run,training,,9300,10.66,0:54'50",5'8",,169,113,633,152,,,,,,4.9,96,113
"workout 346",2020/06/28,Run,training,,5754,6.348,0:34'44",5'28",,165,108,376,144,,,,,,3.5,72,77
"workout 347",2020/07/01,Run,training,,4805,5.767,0:27'53",4'50",,172,115,317,149,,,,,,3.5,67,90
"workout 348",2020/07/03,Run,training,,9119,10.631,0:53'35",5'2",,170,114,649,156,,,,,,5.0,101,118
"workout 349",2020/07/05,Run,training,,5144,5.629,0:30'48",5'28",,166,110,313,138,,,,,,3.1,72,61
"workout 351",2020/07/06,Run,training,,3566,4.043,0:21'6",5'13",,168,111,225,143,,,,,,3.0,56,30
"workout 350",2020/07/06,Walk,training,,1598,1.187,0:15'12",12'48",,105,69,100,106,,,,,,0.6,32,44
"workout 352",2020/07/08,Run,training,,5216,5.701,0:31'16",5'29",,166,109,338,144,,,,,,3.3,64,71
"workout 353",2020/07/12,Run,training,,5580,6.263,0:33'5",5'16",,168,110,331,136,,,,,,3.1,73,84
"workout 355",2020/07/16,Run,training,,9289,10.563,0:54'50",5'11",,169,112,598,145,,,,,,4.0,115,128
"workout 354",2020/07/17,Run,training,,5185,5.79,0:30'33",5'16",,169,110,308,137,,,,,,3.1,42,56
"workout 356",2020/07/18,Run,training,,4868,5.57,0:28'36",5'8",,169,113,305,142,,,,,,3.2,87,61
"workout 357",2020/07/19,Run,training,,5246,5.757,0:31'3",5'23",,168,108,311,136,,,,,,3.1,86,85
"workout 358",2020/07/20,Run,training,,4898,5.776,0:28'30",4'56",,171,114,321,148,,,,,,3.4,71,54
"workout 359",2020/07/21,Run,training,,4980,5.79,0:29'8",5'1",,170,113,317,144,,,,,,3.3,74,79
"workout 360",2020/07/23,Run,training,,5182,5.66,0:30'46",5'26",,168,109,322,141,,,,,,3.2,72,101
"workout 361",2020/07/24,Run,training,,4508,5.342,0:26'17",4'55",,171,115,297,148,,,,,,3.3,71,70
"workout 362",2020/07/26,Run,training,,4667,5.492,0:27'26",4'59",,169,115,302,146,,,,,,3.3,84,96
"workout 363",2020/07/29,Run,training,,4933,5.683,0:28'37",5'2",,172,113,308,143,,,,,,3.2,45,75
"workout 364",2020/08/01,Run,training,,4697,5.719,0:27'18",4'46",,171,119,323,153,,,,,,3.6,91,73
"workout 365",2020/08/02,Run,training,,6190,6.582,0:36'52",5'36",,167,107,365,135,,,,,,3.2,113,140
"workout 366",2020/08/04,Run,training,,4922,5.645,0:29'12",5'10",,168,111,313,143,,,,,,3.3,52,88
"workout 367",2020/08/06,Run,training,,9377,10.605,0:55'3",5'11",,170,111,635,151,,,,,,4.6,108,136
"workout 368",2020/08/07,Run,training,,5110,5.759,0:29'52",5'11",,171,110,315,142,,,,,,3.3,72,93
"workout 369",2020/08/08,Run,training,,9831,10.662,0:58'21",5'28",,168,106,611,141,,,,,,3.7,146,169
"workout 370",2020/08/09,Run,training,,5228,6.054,0:30'48",5'5",,169,112,324,141,,,,,,3.2,72,90
"workout 371",2020/08/10,Run,training,,9301,10.565,0:54'35",5'9",,170,111,601,146,,,,,,3.8,151,139
"workout 372",2020/08/11,Run,training,,11946,13.142,1:10'32",5'22",,169,107,772,146,,,,,,4.2,162,171
"workout 373",2020/08/12,Run,training,,5517,6.048,0:32'24",5'21",,170,107,334,139,,,,,,3.1,72,65
"workout 374",2020/08/13,Run,training,,5264,5.775,0:31'13",5'24",,168,108,313,137,,,,,,3.0,74,86
"workout 375",2020/08/14,Run,training,,9716,10.697,0:57'51",5'24",,167,107,621,142,,,,,,3.6,118,104
"workout 376",2020/08/15,Run,training,,5186,5.728,0:30'34",5'20",,169,108,315,137,,,,,,3.0,72,75
"workout 377",2020/08/16,Run,training,,5328,5.794,0:31'20",5'24",,169,106,312,134,,,,,,2.9,77,74
"workout 378",2020/08/19,Run,training,,4978,5.761,0:29'8",5'3",,170,112,309,140,,,,,,3.1,56,68
"workout 379",2020/08/22,Run,training,,9669,10.637,0:57'6",5'22",,169,108,629,143,,,,,,3.7,111,131
"workout 380",2020/08/23,Run,training,,9603,10.54,0:56'30",5'21",,169,107,586,137,,,,,,3.2,125,115
"workout 381",2020/08/24,Run,training,,4848,5.73,0:27'55",4'52",,173,113,317,146,,,,,,3.3,101,78
"workout 382",2020/08/27,Run,training,,5081,5.753,0:29'44",5'10",,170,111,323,141,,,,,,3.2,72,69
"workout 383",2020/08/29,Run,training,,5110,5.679,0:30'18",5'20",,168,108,312,136,,,,,,3.0,79,80
"workout 384",2020/08/30,Run,training,,4856,5.771,0:28'6",4'52",,172,115,322,147,,,,,,3.3,108,59
"workout 385",2020/09/02,Run,training,,4845,5.723,0:28'26",4'58",,170,114,336,150,,,,,,3.5,83,110
"workout 386",2020/09/03,Run,training,,5379,5.818,0:33'4",5'41",,162,104,360,142,,,,,,3.3,66,68
"workout 387",2020/09/04,Run,training,,5197,5.754,0:30'41",5'19",,169,108,349,146,,,,,,3.4,95,85
"workout 388",2020/09/05,Run,training,,9569,10.664,0:56'9",5'15",,170,109,664,151,,,,,,4.3,127,118
"workout 389",2020/09/06,Run,training,,14431,15.501,1:25'34",5'31",,168,106,955,145,,,,,,4.3,178,180
"workout 390",2020/09/08,Run,training,,4852,5.696,0:28'16",4'57",,171,114,332,150,,,,,,3.4,91,91
"workout 391",2020/09/11,Run,training,,4914,5.753,0:28'45",4'59",,170,113,330,147,,,,,,3.3,86,74
"workout 392",2020/09/12,Run,training,,9689,10.67,0:57'18",5'22",,168,108,664,148,,,,,,4.4,125,103
"workout 393",2020/09/13,Run,training,,9621,10.643,0:57'33",5'24",,167,108,661,147,,,,,,3.7,192,197
"workout 394",2020/09/15,Run,training,,4827,5.706,0:28'10",4'56",,171,117,321,147,,,,,,3.3,42,62
"workout 395",2020/09/16,Run,training,,4895,5.76,0:28'33",4'57",,171,115,324,146,,,,,,3.3,57,71
"workout 396",2020/09/19,Run,training,,13821,15.469,1:21'13",5'15",,170,110,886,142,,,,,,3.7,153,188
"workout 397",2020/09/20,Run,training,,9139,10.197,0:53'29",5'14",,170,110,561,138,,,,,,3.3,109,128
"workout 398",2020/09/21,Run,training,,11218,13.052,1:4'54",4'58",,172,114,724,144,,,,,,3.9,148,116
"workout 399",2020/09/22,Run,training,,9765,11.218,0:57'20",5'6",,170,112,632,143,,,,,,3.6,106,104
"workout 400",2020/09/26,Run,training,,11504,13.045,1:7'29",5'10",,170,111,757,145,,,,,,3.9,142,140
"workout 401",2020/09/27,Run,training,,11395,13.037,1:6'34",5'6",,171,112,818,153,,,,,,4.7,160,135
"workout 402",2020/09/30,Run,training,,7259,8.161,0:42'18",5'11",,171,110,455,139,,,,,,3.2,87,88
"workout 403",2020/10/01,Run,training,,6908,8.269,0:39'45",4'48",,173,117,466,150,,,,,,3.9,70,115
"workout 404",2020/10/03,Run,training,,11511,13.027,1:8'6",5'13",,168,110,779,145,,,,,,4.1,126,118
"workout 405",2020/10/04,Run,training,,12058,13.146,1:11'15",5'25",,169,108,743,135,,,,,,3.2,120,163
"workout 406",2020/10/06,Run,training,,6859,8.271,0:39'41",4'47",,172,116,461,146,,,,,,3.6,74,130
"workout 407",2020/10/07,Run,training,,7236,8.169,0:42'26",5'11",,170,111,463,140,,,,,,3.4,94,90
"workout 408",2020/10/11,Run,training,,10519,10.725,1:3'51",5'57",,164,101,607,127,,,,,,2.4,107,114
"workout 409",2020/10/13,Run,training,,6827,8.177,0:39'47",4'51",,171,115,480,151,,,,,,3.9,70,105
"workout 410",2020/10/16,Run,training,,7276,8.241,0:42'58",5'12",,169,109,448,135,,,,,,3.1,62,135
"workout 412",2020/10/18,Run,training,,1726,2.319,0:9'49",4'14",,175,129,107,163,,,,,,2.8,19,13
"workout 411",2020/10/18,Run,training,,1827,2.325,0:10'29",4'30",,174,122,141,166,,,,,,3.0,19,16
"workout 413",2020/10/18,Run,training,,1804,2.299,0:10'14",4'27",,175,124,129,159,,,,,,2.9,11,16
"workout 414",2020/10/18,Run,training,,1797,2.301,0:10'19",4'29",,173,122,113,134,,,,,,2.1,7,20
"workout 415",2020/10/18,Run,training,,1839,2.403,0:10'42",4'27",,171,125,179,136,,,,,,0.7,14,19
"workout 416",2020/10/20,Run,training,,6920,8.101,0:40'6",4'57",,172,115,465,146,,,,,,3.6,68,78
"workout 417",2020/10/22,Run,training,,7013,8.23,0:40'49",4'57",,171,114,520,157,,,,,,4.2,76,82
"workout 418",2020/10/24,Run,training,,11144,13.014,1:4'39",4'58",,172,115,760,148,,,,,,4.4,139,128
"workout 419",2020/10/25,Run,training,,21459,23.421,2:8'6",5'28",,167,106,1364,138,,,,,,3.1,237,246
"workout 420",2020/10/29,Run,training,,6922,8.222,0:40'12",4'53",,172,115,474,148,,,,,,3.7,89,91
"workout 421",2020/10/30,Run,training,,7075,8.272,0:41'6",4'58",,172,115,476,145,,,,,,3.7,81,77
"workout 422",2020/10/31,Run,training,,12361,13.219,1:12'27",5'28",,170,106,818,143,,,,,,3.6,115,142
"workout 423",2020/11/01,Run,training,,12248,13.2,1:11'41",5'25",,170,106,784,140,,,,,,3.8,136,159
"workout 424",2020/11/02,Run,training,,7420,8.181,0:43'26",5'18",,170,109,472,140,,,,,,3.3,64,58
"workout 425",2020/11/03,Run,training,,5494,5.758,0:33'31",5'49",,163,101,334,132,,,,,,2.7,63,154
"workout 426",2020/11/06,Run,training,,7273,8.275,0:42'21",5'7",,171,110,488,145,,,,,,3.6,60,166
"workout 427",2020/11/07,Run,training,,7470,8.217,0:44'0",5'21",,169,108,491,142,,,,,,3.5,94,72
"workout 428",2020/11/08,Run,training,,11936,13.088,1:11'19",5'26",,167,108,818,145,,,,,,4.0,119,129
"workout 429",2020/11/11,Run,training,,7125,8.244,0:41'3",4'58",,173,113,480,147,,,,,,3.7,79,94
"workout 430",2020/11/13,Run,training,,7397,8.253,0:43'22",5'15",,170,108,532,152,,,,,,3.8,66,197
"workout 431",2020/11/14,Run,training,,11871,13.027,1:9'10",5'18",,171,108,777,143,,,,,,3.8,128,126
"workout 432",2020/11/15,Run,training,,11732,13.08,1:8'2",5'12",,172,109,779,145,,,,,,3.8,94,309
"workout 433",2020/11/18,Run,training,,7358,8.207,0:42'27",5'10",,173,110,489,146,,,,,,3.6,65,83
"workout 434",2020/11/19,Run,training,,11567,13.045,1:7'24",5'10",,171,111,796,148,,,,,,4.3,137,122
"workout 435",2020/11/21,Run,training,,11589,13.172,1:7'22",5'6",,171,111,787,147,,,,,,4.1,141,153
"workout 436",2020/11/22,Run,training,,11544,13.142,1:6'22",5'3",,173,112,754,144,,,,,,3.8,126,181
"workout 437",2020/11/23,Run,training,,9945,10.709,0:58'10",5'25",,170,107,625,138,,,,,,3.2,123,137
"workout 438",2020/11/28,Run,training,,11755,13.089,1:8'7",5'12",,172,110,774,145,,,,,,4.0,125,135
"workout 439",2020/11/29,Run,training,,21009,22.97,2:3'28",5'22",,170,106,1449,149,,,,,,4.6,216,236
"workout 440",2020/12/02,Run,training,,7305,8.199,0:42'11",5'8",,173,110,476,144,,,,,,3.4,100,95
"workout 441",2020/12/05,Run,training,,11641,13.372,1:7'30",5'2",,172,112,823,153,,,,,,4.6,139,122
"workout 442",2020/12/06,Run,training,,11231,13.155,1:4'46",4'55",,173,115,780,151,,,,,,4.5,145,143
"workout 443",2020/12/08,Run,training,,7102,8.172,0:41'1",5'1",,173,113,472,146,,,,,,3.6,98,96
"workout 444",2020/12/09,Run,training,,7115,8.203,0:41'16",5'1",,172,112,476,147,,,,,,3.6,156,55
"workout 445",2020/12/11,Run,training,,7351,8.233,0:42'36",5'10",,172,110,484,145,,,,,,3.5,105,68
"workout 446",2020/12/12,Run,training,,11759,13.011,1:9'2",5'18",,170,108,824,151,,,,,,4.3,120,141
"workout 447",2020/12/13,Run,training,,20947,22.931,2:2'53",5'21",,170,106,1390,145,,,,,,3.8,217,210
"workout 448",2020/12/15,Run,training,,11747,13.118,1:7'48",5'10",,173,109,765,144,,,,,,3.7,169,109
"workout 449",2020/12/18,Run,training,,7427,8.167,0:42'47",5'14",,173,108,476,143,,,,,,3.4,66,79
"workout 450",2020/12/19,Run,training,,11654,13.225,1:7'5",5'4",,173,111,788,149,,,,,,4.2,107,143
"workout 451",2020/12/20,Run,training,,11666,13.168,1:6'57",5'5",,174,111,751,144,,,,,,3.9,119,110
"workout 452",2020/12/22,Run,training,,7224,8.225,0:41'20",5'1",,174,112,465,144,,,,,,3.4,61,77
"workout 453",2020/12/26,Run,training,,11616,13.157,1:7'18",5'6",,172,112,770,146,,,,,,4.0,107,112
"workout 454",2020/12/27,Run,training,,11503,13.143,1:7'31",5'8",,170,111,813,151,,,,,,4.1,156,129
"workout 455",2020/12/29,Run,training,,11887,13.158,1:9'18",5'16",,171,108,789,145,,,,,,4.0,142,147
"workout 456",2020/12/31,Run,training,,10628,10.692,1:3'33",5'56",,167,100,662,136,,,,,,3.0,129,110
