Title,Date,Activity Type,Tag,Rank,Steps,Distance [km],Time [hh:mm'ss"],Pace [mm'ss"/km],Speed [km/h],Cadence [step/min],Stride [cm],Clories [kcal],Avg. HR [num/min],Max. HR [num/min]	,Min. HR [num/min],Weather,Temperature [℃],Notes,TrainingEffect,Ascent [m],Descent [m]
"workout 131",2019/02/23,Run,training,,9721,11.206,0:58'32",5'13",,170,111,632,152,,,,,,4.2,112,123
"workout 132",2019/02/24,Run,training,,10013,11.192,0:58'18",5'12",,172,109,624,151,,,,,,4.1,130,133
"workout 133",2019/02/27,Run,training,,4710,5.473,0:27'29",5'1",,171,112,299,152,,,,,,3.4,70,67
"workout 134",2019/03/03,Run,training,,5947,6.841,0:34'59",5'6",,171,112,351,145,,,,,,3.4,86,79
"workout 135",2019/03/07,Run,training,,4683,5.521,0:27'36",4'59",,170,114,300,153,,,,,,3.6,62,88
"workout 136",2019/03/10,Run,Half Marathon,,18422,21.121,1:52'25",5'19",,167,111,1253,155,,,"Rain","","松阪シティマラソン",5.0,177,185
"workout 137",2019/03/14,Run,training,,4592,5.521,0:26'46",4'50",,172,114,309,158,,,,,,3.9,59,84
"workout 138",2019/03/17,Run,training,,11013,12.674,1:5'13",5'8",,171,112,686,149,,,,,,4.4,104,107
"workout 139",2019/03/20,Run,training,,4560,5.513,0:26'48",4'51",,172,115,282,149,,,,,,3.4,59,64
"workout 140",2019/03/21,Run,training,,9339,10.661,0:54'53",5'8",,170,111,561,146,,,,,,3.8,100,99
"workout 141",2019/03/23,Run,training,,9383,10.525,0:55'14",5'14",,169,111,603,153,,,,,,4.3,84,95
"workout 142",2019/03/24,Run,training,,9374,10.743,0:55'31",5'10",,171,111,565,146,,,,,,3.8,85,84
"workout 143",2019/03/27,Run,training,,4389,5.286,0:25'23",4'48",,173,115,273,150,,,,,,3.3,91,111
"workout 144",2019/03/30,Run,training,,9149,10.575,0:54'53",5'11",,168,111,577,149,,,,,,4.1,88,98
"workout 145",2019/03/31,Run,training,,9758,10.695,0:57'44",5'23",,170,107,557,141,,,,,,3.6,89,97
"workout 146",2019/04/01,Run,training,,4856,5.489,0:28'25",5'10",,170,109,287,145,,,,,,3.2,95,51
"workout 147",2019/04/06,Run,training,,9699,10.952,0:57'56",5'17",,170,109,607,149,,,,,,4.0,111,101
"workout 148",2019/04/07,Run,training,,11322,12.701,1:6'12",5'12",,172,109,654,143,,,,,,3.8,123,142
"workout 149",2019/04/17,Run,training,,4625,5.521,0:27'22",4'57",,171,114,299,150,,,,,,3.5,61,47
"workout 150",2019/04/19,Run,training,,4488,5.534,0:26'3",4'42",,173,118,304,157,,,,,,3.7,63,47
"workout 151",2019/04/20,Run,training,,8866,10.674,0:53'1",4'58",,170,115,572,150,,,,,,4.3,95,131
"workout 152",2019/04/26,Run,training,,4710,5.774,0:27'48",4'48",,171,115,286,145,,,,,,3.3,54,62
"workout 153",2019/04/27,Run,training,,9361,10.746,0:54'58",5'6",,171,112,582,148,,,,,,4.3,111,117
"workout 154",2019/04/29,Run,training,,9088,10.617,0:53'32",5'2",,169,114,576,146,,,,,,4.1,108,107
"workout 155",2019/05/02,Run,training,,9523,10.609,0:56'20",5'18",,168,111,621,148,,,,,,4.2,113,117
"workout 156",2019/05/03,Run,training,,10030,11.139,0:59'5",5'18",,169,110,613,143,,,,,,3.8,106,107
"workout 157",2019/05/04,Run,training,,4954,5.513,0:29'3",5'16",,170,109,290,139,,,,,,3.0,77,75
"workout 158",2019/05/05,Run,training,,5111,5.945,0:29'20",4'56",,174,114,303,142,,,,,,3.2,42,50
"workout 159",2019/05/06,Run,training,,8929,10.265,0:51'44",5'2",,172,114,538,143,,,,,,3.7,90,99
"workout 160",2019/05/12,Run,training,,9639,10.737,0:56'20",5'14",,170,110,604,146,,,,,,4.0,98,108
"workout 161",2019/05/13,Run,training,,4795,5.48,0:27'45",5'3",,172,111,303,148,,,,,,3.3,62,75
"workout 162",2019/05/18,Run,training,,8667,10.141,0:50'29",4'58",,171,116,589,155,,,,,,4.7,110,96
"workout 163",2019/05/19,Run,training,,9542,10.535,0:55'50",5'17",,170,109,592,145,,,,,,3.9,98,94
"workout 164",2019/05/22,Run,training,,4807,5.478,0:28'9",5'8",,170,111,285,140,,,,,,3.0,61,74
"workout 165",2019/05/26,Run,training,,8875,10.125,0:51'14",5'3",,173,114,520,146,,,,,,4.1,88,89
"workout 166",2019/05/27,Run,training,,4988,5.513,0:29'14",5'18",,170,108,268,137,,,,,,3.0,49,47
"workout 167",2019/05/30,Run,training,,9245,10.105,0:54'17",5'22",,170,109,580,152,,,,,,4.3,86,93
"workout 168",2019/06/01,Run,training,,5085,5.522,0:29'46",5'23",,170,108,297,145,,,,,,3.4,80,77
"workout 169",2019/06/02,Run,training,,14718,15.584,1:26'42",5'33",,169,105,842,142,,,,,,3.7,161,144
"workout 170",2019/06/04,Run,training,,4850,5.518,0:28'21",5'8",,170,111,289,145,,,,,,3.3,66,62
"workout 171",2019/06/06,Run,training,,4636,5.58,0:26'43",4'47",,173,116,289,151,,,,,,3.5,66,68
"workout 172",2019/06/09,Run,training,,14191,15.568,1:22'51",5'19",,171,109,824,143,,,,,,3.8,156,151
"workout 173",2019/06/10,Run,training,,4977,5.486,0:28'51",5'15",,172,108,283,141,,,,,,3.2,81,74
"workout 174",2019/06/16,Run,training,,14510,15.557,1:24'49",5'27",,171,107,821,140,,,,,,3.6,162,179
"workout 175",2019/06/19,Run,training,,4618,5.524,0:26'48",4'51",,172,117,299,154,,,,,,3.6,57,57
"workout 176",2019/06/23,Run,training,,14088,15.528,1:23'7",5'21",,169,109,876,148,,,,,,4.7,134,133
"workout 177",2019/06/25,Run,training,,4614,5.545,0:26'50",4'50",,171,116,296,153,,,,,,3.5,74,102
"workout 178",2019/06/28,Run,training,,4741,5.457,0:27'56",5'7",,169,114,305,152,,,,,,3.6,81,77
"workout 179",2019/06/29,Run,training,,4831,5.441,0:28'15",5'11",,170,113,325,157,,,,,,3.8,103,111
"workout 180",2019/06/30,Run,training,,5068,5.468,0:29'47",5'26",,170,106,283,141,,,,,,3.2,50,57
"workout 181",2019/07/05,Run,training,,4659,5.461,0:26'56",4'55",,172,114,282,150,,,,,,3.4,70,59
"workout 182",2019/07/06,Run,training,,9748,11.148,1:11'45",6'26",,135,94,670,151,,,,,,4.4,230,165
"workout 183",2019/07/10,Run,training,,4773,5.452,0:27'53",5'6",,171,109,284,146,,,,,,3.3,81,82
"workout 184",2019/07/13,Run,training,,9214,10.152,0:54'40",5'23",,168,109,580,151,,,,,,4.4,91,112
"workout 185",2019/07/15,Run,training,,5071,5.498,0:30'0",5'27",,168,107,286,141,,,,,,3.2,64,73
"workout 186",2019/07/20,Run,training,,4739,5.499,0:27'38",5'1",,171,114,296,152,,,,,,3.5,62,84
"workout 187",2019/07/21,Run,training,,9395,10.558,0:54'46",5'11",,171,111,593,153,,,,,,4.8,100,93
